Year;Month;DayOfMonth;DayOfWeek;Shift;Actual BD teams
2020;Jul;20;Mon;N;2
2020;Jul;20;Mon;M;4
2020;Jul;20;Mon;E;3
2020;Jul;21;Tue;N;1
2020;Jul;21;Tue;M;5
2020;Jul;21;Tue;E;2
2020;Jul;22;Wed;N;1
2020;Jul;22;Wed;M;4
2020;Jul;22;Wed;E;3
2020;Jul;23;Thu;N;2
2020;Jul;23;Thu;M;5
2020;Jul;23;Thu;E;3
2020;Jul;24;Fri;N;1
2020;Jul;24;Fri;M;5
2020;Jul;24;Fri;E;3
2020;Jul;25;Sat;N;2
2020;Jul;25;Sat;M;5
2020;Jul;25;Sat;E;4
2020;Jul;26;Sun;N;2
2020;Jul;26;Sun;M;5
2020;Jul;26;Sun;E;4
2020;Jul;27;Mon;N;1
2020;Jul;27;Mon;M;4
2020;Jul;27;Mon;E;3
2020;Jul;28;Tue;N;1
2020;Jul;28;Tue;M;5
2020;Jul;28;Tue;E;2
2020;Jul;29;Wed;N;2
2020;Jul;29;Wed;M;5
2020;Jul;29;Wed;E;3
2020;Jul;30;Thu;N;2
2020;Jul;30;Thu;M;4
2020;Jul;30;Thu;E;2
2020;Jul;31;Fri;N;2
2020;Jul;31;Fri;M;4
2020;Jul;31;Fri;E;3
2020;Aug;1;Sat;N;1
2020;Aug;1;Sat;M;6
2020;Aug;1;Sat;E;3
2020;Aug;2;Sun;N;1
2020;Aug;2;Sun;M;6
2020;Aug;2;Sun;E;4
2020;Aug;3;Mon;N;1
2020;Aug;3;Mon;M;4
2020;Aug;3;Mon;E;3
2020;Aug;4;Tue;N;1
2020;Aug;4;Tue;M;4
2020;Aug;4;Tue;E;3
2020;Aug;5;Wed;N;1
2020;Aug;5;Wed;M;4
2020;Aug;5;Wed;E;2
2020;Aug;6;Thu;N;2
2020;Aug;6;Thu;M;4
2020;Aug;6;Thu;E;3
2020;Aug;7;Fri;N;2
2020;Aug;7;Fri;M;5
2020;Aug;7;Fri;E;3
2020;Aug;8;Sat;N;2
2020;Aug;8;Sat;M;5
2020;Aug;8;Sat;E;4
2020;Aug;9;Sun;N;2
2020;Aug;9;Sun;M;5
2020;Aug;9;Sun;E;4
2020;Aug;10;Mon;N;2
2020;Aug;10;Mon;M;4
2020;Aug;10;Mon;E;3
2020;Aug;11;Tue;N;1
2020;Aug;11;Tue;M;4
2020;Aug;11;Tue;E;2
2020;Aug;12;Wed;N;1
2020;Aug;12;Wed;M;5
2020;Aug;12;Wed;E;2
2020;Aug;13;Thu;N;2
2020;Aug;13;Thu;M;4
2020;Aug;13;Thu;E;3
2020;Aug;14;Fri;N;1
2020;Aug;14;Fri;M;4
2020;Aug;14;Fri;E;3
2020;Aug;15;Sat;N;2
2020;Aug;15;Sat;M;5
2020;Aug;15;Sat;E;4
2020;Aug;16;Sun;N;2
2020;Aug;16;Sun;M;5
2020;Aug;16;Sun;E;4
2020;Aug;17;Mon;N;2
2020;Aug;17;Mon;M;4
2020;Aug;17;Mon;E;3
2020;Aug;18;Tue;N;1
2020;Aug;18;Tue;M;3
2020;Aug;18;Tue;E;2
2020;Aug;19;Wed;N;1
2020;Aug;19;Wed;M;4
2020;Aug;19;Wed;E;3
2020;Aug;20;Thu;N;2
2020;Aug;20;Thu;M;4
2020;Aug;20;Thu;E;3
2020;Aug;21;Fri;N;2
2020;Aug;21;Fri;M;5
2020;Aug;21;Fri;E;2
2020;Aug;22;Sat;N;2
2020;Aug;22;Sat;M;5
2020;Aug;22;Sat;E;3
2020;Aug;23;Sun;N;2
2020;Aug;23;Sun;M;5
2020;Aug;23;Sun;E;3
2020;Aug;24;Mon;N;2
2020;Aug;24;Mon;M;4
2020;Aug;24;Mon;E;4
2020;Aug;25;Tue;N;1
2020;Aug;25;Tue;M;3
2020;Aug;25;Tue;E;2
2020;Aug;26;Wed;N;1
2020;Aug;26;Wed;M;4
2020;Aug;26;Wed;E;3
2020;Aug;27;Thu;N;2
2020;Aug;27;Thu;M;5
2020;Aug;27;Thu;E;3
2020;Aug;28;Fri;N;2
2020;Aug;28;Fri;M;5
2020;Aug;28;Fri;E;2
2020;Aug;29;Sat;N;2
2020;Aug;29;Sat;M;6
2020;Aug;29;Sat;E;4
2020;Aug;30;Sun;N;1
2020;Aug;30;Sun;M;6
2020;Aug;30;Sun;E;3
2020;Aug;31;Mon;N;2
2020;Aug;31;Mon;M;4
2020;Aug;31;Mon;E;3
2020;Sep;1;Tue;N;1
2020;Sep;1;Tue;M;3
2020;Sep;1;Tue;E;2
2020;Sep;2;Wed;N;1
2020;Sep;2;Wed;M;4
2020;Sep;2;Wed;E;3
2020;Sep;3;Thu;N;1
2020;Sep;3;Thu;M;5
2020;Sep;3;Thu;E;2
2020;Sep;4;Fri;N;1
2020;Sep;4;Fri;M;5
2020;Sep;4;Fri;E;2
2020;Sep;5;Sat;N;2
2020;Sep;5;Sat;M;6
2020;Sep;5;Sat;E;3
2020;Sep;6;Sun;N;2
2020;Sep;6;Sun;M;7
2020;Sep;6;Sun;E;3
2020;Sep;7;Mon;N;2
2020;Sep;7;Mon;M;4
2020;Sep;7;Mon;E;4
2020;Sep;8;Tue;N;1
2020;Sep;8;Tue;M;4
2020;Sep;8;Tue;E;2
2020;Sep;9;Wed;N;2
2020;Sep;9;Wed;M;4
2020;Sep;9;Wed;E;3
2020;Sep;10;Thu;N;2
2020;Sep;10;Thu;M;4
2020;Sep;10;Thu;E;3
2020;Sep;11;Fri;N;2
2020;Sep;11;Fri;M;5
2020;Sep;11;Fri;E;2.5
2020;Sep;12;Sat;N;2
2020;Sep;12;Sat;M;6
2020;Sep;12;Sat;E;3
2020;Sep;13;Sun;N;2
2020;Sep;13;Sun;M;6
2020;Sep;13;Sun;E;3
2020;Sep;14;Mon;N;2
2020;Sep;14;Mon;M;5
2020;Sep;14;Mon;E;4
2020;Sep;15;Tue;N;1
2020;Sep;15;Tue;M;4
2020;Sep;15;Tue;E;1
